Seviye;Etkinlik Adı;Kazanım
3. Sınıf;Gökyüzü Kaşifleri;Güneş, Dünya ve Ay'ın şekillerinin küreye benzediğini fark eder.
3. Sınıf;Gökyüzü Kaşifleri;Ay'ın evrelerini gözlemleyerek sıralar.
3. Sınıf;Küçük Mucitler Atölyesi;Basit makinelerden kaldıraç ve makaranın işe yaradığı durumlara örnek verir.
4. Sınıf;Vücudumuzun Yapı Taşları;İskelet sisteminin görevlerini model üzerinde açıklar.
4. Sınıf;Vücudumuzun Yapı Taşları;Kas sisteminin hareketteki rolünü fark eder.
4. Sınıf;Yerin Altında Ne Var?;Volkanik oluşumları ve deprem ile levha hareketi arasındaki ilişkiyi açıklar.
4. Sınıf;Yerin Altında Ne Var?;Kaya ve mineral örneklerini özelliklerine göre sınıflandırır.
5. Sınıf;Mikro Dünya;Bitki ve hayvan hücresini karşılaştırarak temel yapıları tanır.
5. Sınıf;Mikro Dünya;Bakteri ve virüslerin canlılar üzerindeki etkisini açıklar.
5. Sınıf;Su Bizim Hayatımız;Su döngüsünü model üzerinde göstererek açıklar.
5. Sınıf;Su Bizim Hayatımız;Su kirliliğinin ekosisteme etkisini örneklerle tartışır.
5. Sınıf;Işığın Yolculuğu;Işığın mercek ve aynalarda yön değiştirdiğini gözlemler.
6. Sınıf;Elektrik Atölyesi;Basit bir elektrik devresi kurarak pil ve ampulün görevini açıklar.
6. Sınıf;Elektrik Atölyesi;Mıknatısların manyetik alan oluşturduğunu deneyle gösterir.
6. Sınıf;Kalbimizin Ritmi;Dolaşım sisteminde kalbin görevini model üzerinde açıklar.
6. Sınıf;Kalbimizin Ritmi;Solunum sistemi ile dolaşım sistemi arasındaki ilişkiyi kurar.
6. Sınıf;Maddenin Sırrı;Atom modelini kullanarak element ve molekül kavramlarını ayırt eder.
7. Sınıf;Enerji Nereden Geliyor?;Güneş paneli ve rüzgâr türbininin enerji dönüşümünü açıklar.
7. Sınıf;Enerji Nereden Geliyor?;Isı ve sıcaklık arasındaki farkı termometre kullanarak açıklar.
7. Sınıf;Zamanın İzleri;Fosil örneklerinden yola çıkarak dinozorların yaşam ortamını yorumlar.
7. Sınıf;Zamanın İzleri;Geri dönüşümün doğal kaynaklara katkısını değerlendirir.
8. Sınıf;DNA'nın Şifresi;DNA'nın yapısını model üzerinde inceleyerek kalıtımı açıklar.
8. Sınıf;Köprü Mühendisleri;Köprü tasarımında kuvvet dengesini ve taşıyıcı yapıları test eder.
8. Sınıf;Robotik Başlangıç;Dişli çark sistemlerinin hareket aktarımındaki rolünü açıklar.
8. Sınıf;Mavi Gezegen;Okyanus tabanı ve mercan resiflerinin biyolojik çeşitliliğe katkısını açıklar.
